# threshold=0.2700
timestamp,ue_id,gnb,rsrp_kpm,sinr_kpm,rsrp_rrc,rsrq_rrc,sinr_rrc,thp_dl,thp_ul,prb_dl,rlc_delay,score,ho_triggered,ho_count
2026-04-02 11:29:53.142,1,source,-120.00,0.00,-120.00,-12.00,0.00,505.2,661279.6,2371,0.00,0.7401,0,0
2026-04-02 11:29:53.242,1,source,-120.00,0.00,-120.00,-12.00,0.00,0.5,7310.2,10,0.00,0.2526,0,0
2026-04-02 11:29:53.342,1,source,-120.00,0.00,-120.00,-12.00,0.00,0.5,7273.1,10,0.00,0.2525,0,0
2026-04-02 11:29:53.442,1,source,-120.00,0.00,-120.00,-12.00,0.00,0.5,7272.8,10,0.00,0.2525,0,0
2026-04-02 11:29:53.542,1,source,-120.00,0.00,-120.00,-12.00,0.00,0.2,7030.2,5,0.00,0.2565,0,0
2026-04-02 11:29:53.642,1,source,-120.00,0.00,-120.00,-12.00,0.00,0.5,7161.4,10,0.00,0.2521,0,0
2026-04-02 11:29:53.742,1,source,-120.00,0.00,-120.00,-12.00,0.00,0.5,6861.5,10,0.00,0.2512,0,0
2026-04-02 11:29:53.842,1,source,-120.00,0.00,-82.00,-11.00,22.50,0.5,6526.8,15,0.00,0.3279,0,0
2026-04-02 11:29:53.942,1,source,-120.00,0.00,-82.00,-11.00,22.50,0.5,7272.8,15,0.00,0.3301,0,0
2026-04-02 11:29:54.042,1,source,-120.00,0.00,-82.00,-11.00,22.50,0.2,7272.9,5,0.00,0.3395,0,0
2026-04-02 11:29:54.142,1,source,-120.00,0.00,-82.00,-11.00,22.50,0.5,7272.7,10,0.00,0.3348,0,0
2026-04-02 11:29:54.242,1,source,-120.00,0.00,-82.00,-11.00,22.50,0.5,7273.0,10,0.00,0.3348,0,0
2026-04-02 11:29:54.342,1,source,-120.00,0.00,-82.00,-11.00,22.50,0.5,7318.6,10,0.00,0.3349,0,0
2026-04-02 11:29:54.442,1,source,-120.00,0.00,-82.00,-11.00,22.50,0.5,7133.5,10,0.00,0.3344,0,0
2026-04-02 11:29:54.542,1,source,-120.00,0.00,-82.00,-11.00,22.50,0.2,5977.4,5,0.00,0.3356,0,0
2026-04-02 11:29:54.642,1,source,-120.00,0.00,-82.00,-11.00,22.50,0.5,7317.8,10,0.00,0.3349,0,0
2026-04-02 11:29:54.742,1,source,-120.00,0.00,-82.00,-11.00,22.50,0.5,7044.5,10,0.00,0.3341,0,0
2026-04-02 11:29:54.842,1,source,-120.00,0.00,-82.00,-11.00,22.50,0.5,6480.6,15,0.00,0.3277,0,0
2026-04-02 11:29:54.942,1,source,-120.00,0.00,-82.00,-11.00,22.50,0.2,5366.9,10,0.00,0.3291,0,0
2026-04-02 11:29:55.042,1,source,-120.00,0.00,-82.00,-11.00,22.50,0.5,6962.9,10,0.00,0.3339,0,0
2026-04-02 11:29:55.142,1,source,-120.00,0.00,-82.00,-11.00,22.50,0.2,6210.2,5,0.00,0.3363,0,0
2026-04-02 11:29:55.242,1,source,-120.00,0.00,-82.00,-11.00,22.50,0.5,7463.0,10,0.00,0.3354,0,0
2026-04-02 11:29:55.342,1,source,-120.00,0.00,-82.00,-11.00,22.50,0.5,7273.9,10,0.00,0.3348,0,0
2026-04-02 11:29:55.442,1,source,-120.00,0.00,-82.00,-11.00,22.50,0.2,6323.4,5,0.00,0.3367,0,0
2026-04-02 11:29:55.542,1,source,-120.00,0.00,-82.00,-11.00,22.50,0.5,6544.6,10,0.00,0.3326,0,0
2026-04-02 11:29:55.642,1,source,-120.00,0.00,-82.00,-11.00,22.50,0.2,6507.8,5,0.00,0.3372,0,0
2026-04-02 11:29:55.742,1,source,-120.00,0.00,-82.00,-11.00,22.50,0.5,5220.6,10,0.00,0.3286,0,0
2026-04-02 11:29:55.842,1,source,-120.00,0.00,-82.00,-11.00,22.50,0.5,5830.6,15,0.00,0.3258,0,0
2026-04-02 11:29:55.942,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.2,5799.0,10,0.00,0.3283,0,0
2026-04-02 11:29:56.042,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,5665.8,10,0.00,0.3279,0,0
2026-04-02 11:29:56.142,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,5860.2,10,0.00,0.3285,0,0
2026-04-02 11:29:56.242,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.2,5771.6,5,0.00,0.3329,0,0
2026-04-02 11:29:56.342,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,5830.6,10,0.00,0.3284,0,0
2026-04-02 11:29:56.442,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,5830.6,10,0.00,0.3284,0,0
2026-04-02 11:29:56.542,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.2,5801.4,5,0.00,0.3330,0,0
2026-04-02 11:29:56.642,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,5771.8,10,0.00,0.3282,0,0
2026-04-02 11:29:56.742,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,5801.2,10,0.00,0.3283,0,0
2026-04-02 11:29:56.842,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.2,5830.6,10,0.00,0.3284,0,0
2026-04-02 11:29:56.942,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,5798.7,15,0.00,0.3236,0,0
2026-04-02 11:29:57.042,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,5901.2,10,0.00,0.3286,0,0
2026-04-02 11:29:57.142,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.2,6107.7,5,0.00,0.3339,0,0
2026-04-02 11:29:57.242,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,6553.6,10,0.00,0.3306,0,0
2026-04-02 11:29:57.342,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,6786.8,10,0.00,0.3313,0,0
2026-04-02 11:29:57.442,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,6787.4,10,0.00,0.3313,0,0
2026-04-02 11:29:57.542,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.2,6581.2,5,0.00,0.3354,0,0
2026-04-02 11:29:57.642,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,6787.4,10,0.00,0.3313,0,0
2026-04-02 11:29:57.742,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,7124.1,10,0.00,0.3323,0,0
2026-04-02 11:29:57.842,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,7161.1,15,0.00,0.3277,0,0
2026-04-02 11:29:57.942,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.2,6579.6,10,0.00,0.3306,0,0
2026-04-02 11:29:58.042,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,5422.2,10,0.00,0.3272,0,0
2026-04-02 11:29:58.142,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,6750.2,10,0.00,0.3312,0,0
2026-04-02 11:29:58.242,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.2,6039.0,5,0.00,0.3337,0,0
2026-04-02 11:29:58.342,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.2,5594.6,5,0.00,0.3324,0,0
2026-04-02 11:29:58.442,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,5997.8,10,0.00,0.3289,0,0
2026-04-02 11:29:58.542,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.2,5440.6,5,0.00,0.3319,0,0
2026-04-02 11:29:58.642,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,5404.3,10,0.00,0.3271,0,0
2026-04-02 11:29:58.742,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,5763.0,10,0.00,0.3282,0,0
2026-04-02 11:29:58.842,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.2,5168.3,10,0.00,0.3264,0,0
2026-04-02 11:29:58.942,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,5168.0,10,0.00,0.3264,0,0
2026-04-02 11:29:59.042,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.2,5165.9,10,0.00,0.3264,0,0
2026-04-02 11:29:59.142,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,5167.8,10,0.00,0.3264,0,0
2026-04-02 11:29:59.242,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,5168.1,10,0.00,0.3264,0,0
2026-04-02 11:29:59.342,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.2,5116.6,5,0.00,0.3310,0,0
2026-04-02 11:29:59.442,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,5167.9,10,0.00,0.3264,0,0
2026-04-02 11:29:59.542,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.2,5142.3,5,0.00,0.3310,0,0
2026-04-02 11:29:59.642,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,5142.4,10,0.00,0.3263,0,0
2026-04-02 11:29:59.742,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,5116.3,10,0.00,0.3263,0,0
2026-04-02 11:29:59.842,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.2,5142.3,10,0.00,0.3263,0,0
2026-04-02 11:29:59.942,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.5,5116.7,10,0.00,0.3263,0,0
2026-04-02 11:30:00.042,1,source,-120.00,0.00,-83.00,-11.00,22.50,0.2,5088.8,10,0.00,0.3262,0,0
