timestamp,ue_id,gnb,rsrp_kpm,sinr_kpm,rsrp_rrc,rsrq_rrc,sinr_rrc,thp_dl,thp_ul,prb_dl,rlc_delay,score,ho_triggered,ho_count
2026-03-27 18:42:42.617,66,source,-120.00,0.00,-120.00,-12.00,0.00,343596898.8,340889423.4,4294960363,0.00,0.7401,0,0
2026-03-27 18:42:42.717,66,source,-120.00,0.00,-120.00,-12.00,0.00,0.5,7935.0,10,0.00,0.2545,0,0
2026-03-27 18:42:42.817,66,source,-120.00,0.00,-120.00,-12.00,0.00,0.2,8050.4,5,0.00,0.2595,0,0
2026-03-27 18:42:42.917,66,source,-120.00,0.00,-80.00,-11.00,22.50,0.7,9580.1,20,0.00,0.3365,0,0
2026-03-27 18:42:43.017,66,source,-120.00,0.00,-80.00,-11.00,22.50,0.5,9121.7,10,0.00,0.3445,0,0
2026-03-27 18:42:43.117,66,source,-120.00,0.00,-80.00,-11.00,22.50,5.8,9591.4,64,29.00,0.2950,0,0
2026-03-27 18:42:43.217,66,source,-120.00,0.00,-80.00,-11.00,22.50,0.5,8365.4,10,0.00,0.3423,0,0
2026-03-27 18:42:43.317,66,source,-120.00,0.00,-80.00,-11.00,22.50,0.2,7927.4,5,0.00,0.3457,0,0
2026-03-27 18:42:43.417,66,source,-120.00,0.00,-80.00,-11.00,22.50,0.5,8937.7,10,0.00,0.3440,0,0
2026-03-27 18:42:43.517,66,source,-120.00,0.00,-80.00,-11.00,22.50,0.5,9827.0,10,0.00,0.3466,0,0
2026-03-27 18:42:43.617,66,source,-120.00,0.00,-80.00,-11.00,22.50,0.5,9280.2,10,0.00,0.3450,0,0
2026-03-27 18:42:43.717,66,source,-120.00,0.00,-80.00,-11.00,22.50,0.7,9877.6,15,0.00,0.3421,0,0
2026-03-27 18:42:43.817,66,source,-120.00,0.00,-80.00,-11.00,22.50,4.2,9407.1,24,1145.00,0.3322,0,0
2026-03-27 18:42:43.917,66,source,-120.00,0.00,-79.00,-11.00,22.50,4.2,9843.3,24,755.00,0.3356,0,0
2026-03-27 18:42:44.017,66,source,-120.00,0.00,-79.00,-11.00,22.50,0.5,9459.0,10,0.00,0.3476,0,0
2026-03-27 18:42:44.117,66,source,-120.00,0.00,-79.00,-11.00,22.50,4.2,9407.1,24,904.00,0.3343,0,0
2026-03-27 18:42:44.217,66,source,-120.00,0.00,-79.00,-11.00,22.50,5.8,8498.5,18,224.00,0.3372,0,0
2026-03-27 18:42:44.317,66,source,-120.00,0.00,-79.00,-11.00,22.50,0.5,8550.2,10,0.00,0.3449,0,0
2026-03-27 18:42:44.417,66,source,-120.00,0.00,-79.00,-11.00,22.50,0.5,8499.4,10,0.00,0.3447,0,0
2026-03-27 18:42:44.517,66,source,-120.00,0.00,-79.00,-11.00,22.50,3.9,8097.0,19,625.00,0.3350,0,0
2026-03-27 18:42:44.617,66,source,-120.00,0.00,-79.00,-11.00,22.50,0.7,9232.3,15,0.00,0.3422,0,0
2026-03-27 18:42:44.717,66,source,-120.00,0.00,-79.00,-11.00,22.50,0.5,8757.4,10,0.00,0.3455,0,0
2026-03-27 18:42:44.817,66,source,-120.00,0.00,-79.00,-11.00,22.50,0.5,9232.4,10,0.00,0.3469,0,0
2026-03-27 18:42:44.917,66,source,-120.00,0.00,-79.00,-11.00,22.50,5.8,8758.0,29,887.00,0.3276,0,0
2026-03-27 18:42:45.017,66,source,-120.00,0.00,-79.00,-11.00,22.50,0.5,8312.4,15,0.00,0.3395,0,0
2026-03-27 18:42:45.117,66,source,-120.00,0.00,-79.00,-11.00,22.50,0.5,8711.6,15,0.00,0.3407,0,0
2026-03-27 18:42:45.217,66,source,-120.00,0.00,-79.00,-11.00,22.50,0.5,9232.2,10,0.00,0.3469,0,0
2026-03-27 18:42:45.317,66,source,-120.00,0.00,-79.00,-11.00,22.50,0.5,8548.9,10,0.00,0.3449,0,0
2026-03-27 18:42:45.417,66,source,-120.00,0.00,-79.00,-11.00,22.50,285.8,8099.4,773,5801.56,0.2538,0,0
2026-03-27 18:42:45.517,66,source,-120.00,0.00,-79.00,-11.00,22.50,0.5,8757.5,10,0.00,0.3455,0,0
2026-03-27 18:42:45.617,66,source,-120.00,0.00,-79.00,-11.00,22.50,0.5,9186.6,10,0.00,0.3468,0,0
2026-03-27 18:42:45.717,66,source,-120.00,0.00,-79.00,-11.00,22.50,0.5,8972.2,10,0.00,0.3462,0,0
2026-03-27 18:42:45.817,66,source,-120.00,0.00,-79.00,-11.00,22.50,0.5,9186.5,10,0.00,0.3468,0,0
2026-03-27 18:42:45.917,66,source,-120.00,0.00,-79.00,-11.00,22.50,0.5,8757.8,10,0.00,0.3455,0,0
2026-03-27 18:42:46.017,66,source,-120.00,0.00,-79.00,-11.00,22.00,0.5,9229.8,15,0.00,0.3422,0,0
2026-03-27 18:42:46.117,66,source,-120.00,0.00,-79.00,-11.00,22.00,0.5,8548.6,15,0.00,0.3402,0,0
2026-03-27 18:42:46.217,66,source,-120.00,0.00,-79.00,-11.00,22.00,0.5,9232.5,10,0.00,0.3469,0,0
2026-03-27 18:42:46.317,66,source,-120.00,0.00,-79.00,-11.00,22.00,0.5,8757.4,10,0.00,0.3455,0,0
2026-03-27 18:42:46.417,66,source,-120.00,0.00,-79.00,-11.00,22.00,0.7,9232.2,15,0.00,0.3422,0,0
2026-03-27 18:42:46.517,66,source,-120.00,0.00,-79.00,-11.00,22.00,0.5,9347.9,10,0.00,0.3473,0,0
2026-03-27 18:42:46.617,66,source,-120.00,0.00,-79.00,-11.00,22.00,0.5,8651.8,10,0.00,0.3452,0,0
2026-03-27 18:42:46.718,66,source,-120.00,0.00,-79.00,-11.00,22.00,0.2,7845.4,5,0.00,0.3475,0,0
2026-03-27 18:42:46.823,66,source,-120.00,0.00,-79.00,-11.00,22.00,0.5,9979.3,10,0.00,0.3492,0,0
2026-03-27 18:42:46.919,66,source,-120.00,0.00,-79.00,-11.00,22.00,0.7,9846.2,15,0.00,0.3441,0,0
2026-03-27 18:42:47.017,66,source,-120.00,0.00,-80.00,-11.00,22.50,0.5,9742.0,15,0.00,0.3417,0,0
2026-03-27 18:42:47.117,66,source,-120.00,0.00,-80.00,-11.00,22.50,0.5,8708.5,15,0.00,0.3386,0,0
2026-03-27 18:42:47.217,66,source,-120.00,0.00,-80.00,-11.00,22.50,0.5,9979.2,10,0.00,0.3471,0,0
2026-03-27 18:42:47.317,66,source,-120.00,0.00,-80.00,-11.00,22.50,0.5,9509.5,10,0.00,0.3457,0,0
2026-03-27 18:42:47.417,66,source,-120.00,0.00,-80.00,-11.00,22.50,0.5,7330.0,10,0.00,0.3391,0,0
2026-03-27 18:42:47.517,66,source,-120.00,0.00,-80.00,-11.00,22.50,0.2,5799.9,5,0.00,0.3393,0,0
2026-03-27 18:42:47.618,66,source,-120.00,0.00,-80.00,-11.00,22.50,0.5,7290.0,10,0.00,0.3390,0,0
2026-03-27 18:42:47.717,66,source,-120.00,0.00,-80.00,-11.00,22.50,0.5,7473.1,10,0.00,0.3396,0,0
2026-03-27 18:42:47.817,66,source,-120.00,0.00,-80.00,-11.00,22.50,0.2,7493.7,5,0.00,0.3444,0,0
2026-03-27 18:42:47.917,66,source,-120.00,0.00,-80.00,-11.00,22.50,0.5,6734.0,10,0.00,0.3374,0,0
2026-03-27 18:42:48.017,66,source,-120.00,0.00,-83.00,-11.00,21.50,0.5,7065.5,15,0.00,0.3274,0,0
2026-03-27 18:42:48.117,66,source,-120.00,0.00,-83.00,-11.00,21.50,0.5,6450.4,15,0.00,0.3255,0,0
2026-03-27 18:42:48.217,66,source,-120.00,0.00,-83.00,-11.00,21.50,0.5,7198.3,10,0.00,0.3325,0,0
2026-03-27 18:42:48.317,66,source,-120.00,0.00,-83.00,-11.00,21.50,0.2,7273.0,5,0.00,0.3374,0,0
2026-03-27 18:42:48.417,66,source,-120.00,0.00,-83.00,-11.00,21.50,0.5,7235.5,10,0.00,0.3326,0,0
2026-03-27 18:42:48.517,66,source,-120.00,0.00,-83.00,-11.00,21.50,5.1,6581.4,27,177.00,0.3146,0,0
2026-03-27 18:42:48.617,66,source,-120.00,0.00,-83.00,-11.00,21.50,1.4,6974.6,16,0.00,0.3262,0,0
2026-03-27 18:42:48.717,66,source,-120.00,0.00,-83.00,-11.00,21.50,0.2,6399.5,5,0.00,0.3348,0,0
2026-03-27 18:42:48.817,66,source,-120.00,0.00,-83.00,-11.00,21.50,0.5,6658.2,10,0.00,0.3309,0,0
2026-03-27 18:42:48.917,66,source,-120.00,0.00,-83.00,-11.00,21.50,1.4,6563.6,16,0.00,0.3249,0,0
2026-03-27 18:42:49.017,66,source,-120.00,0.00,-83.00,-11.00,21.50,0.2,6901.0,5,0.00,0.3363,0,0
2026-03-27 18:42:49.117,66,source,-120.00,0.00,-97.00,-11.50,19.50,2.0,6896.5,31,0.00,0.2810,0,0
2026-03-27 18:42:49.217,66,source,-120.00,0.00,-97.00,-11.50,19.50,1.6,6732.5,25,0.00,0.2862,0,0
2026-03-27 18:42:49.317,66,source,-120.00,0.00,-97.00,-11.50,19.50,1.1,6900.1,10,0.00,0.3009,0,0
2026-03-27 18:42:49.417,66,source,-120.00,0.00,-97.00,-11.50,19.50,2.4,6900.2,25,0.00,0.2867,0,0
2026-03-27 18:42:49.517,66,source,-120.00,0.00,-97.00,-11.50,19.50,3.0,6694.4,25,0.00,0.2861,0,0
2026-03-27 18:42:49.617,66,source,-120.00,0.00,-101.00,-11.00,20.50,2.9,6433.9,30,0.00,0.2738,1,1
2026-03-27 18:42:49.717,66,source,-120.00,0.00,-101.00,-11.00,20.50,1.0,874.6,22,0.00,0.2647,1,1
2026-03-27 18:42:49.718,66,target,-120.00,0.00,-101.00,-11.00,20.50,0.0,0.0,4294967071,0.00,0.1828,1,1
2026-03-27 18:42:49.817,66,source,-120.00,0.00,-101.00,-11.00,20.50,0.0,0.0,0,0.00,0.2828,1,1
2026-03-27 18:42:49.818,66,target,-120.00,0.00,-101.00,-11.00,20.50,0.0,489.1,5,0.00,0.2796,1,1
2026-03-27 18:42:49.917,66,source,-120.00,0.00,-88.00,-11.00,22.00,0.0,0.0,0,0.00,0.3099,1,1
2026-03-27 18:42:49.918,66,target,-120.00,0.00,-88.00,-11.00,22.00,0.2,701.5,10,0.00,0.3026,1,1
2026-03-27 18:42:50.017,66,source,-120.00,0.00,-88.00,-11.00,22.00,0.0,0.0,0,0.00,0.3099,1,1
2026-03-27 18:42:50.018,66,target,-120.00,0.00,-88.00,-11.00,22.00,0.2,703.7,5,0.00,0.3073,1,1
2026-03-27 18:42:50.117,66,source,-120.00,0.00,-88.00,-11.00,22.00,0.0,0.0,0,0.00,0.3099,1,1
2026-03-27 18:42:50.118,66,target,-120.00,0.00,-88.00,-11.00,22.00,0.2,703.8,5,0.00,0.3073,1,1
2026-03-27 18:42:50.217,66,source,-120.00,0.00,-88.00,-11.00,22.00,0.0,0.0,0,0.00,0.3099,1,1
2026-03-27 18:42:50.218,66,target,-120.00,0.00,-88.00,-11.00,22.00,0.2,704.0,5,0.00,0.3073,1,1
2026-03-27 18:42:50.317,66,source,-120.00,0.00,-88.00,-11.00,22.00,0.0,0.0,0,0.00,0.3099,1,1
2026-03-27 18:42:50.318,66,target,-120.00,0.00,-88.00,-11.00,22.00,0.2,703.8,5,0.00,0.3073,1,1
2026-03-27 18:42:50.417,66,source,-120.00,0.00,-88.00,-11.00,22.00,0.0,0.0,0,0.00,0.3099,1,1
2026-03-27 18:42:50.418,66,target,-120.00,0.00,-88.00,-11.00,22.00,0.2,703.8,5,0.00,0.3073,1,1
2026-03-27 18:42:50.517,66,source,-120.00,0.00,-88.00,-11.00,22.00,0.0,0.0,0,0.00,0.3099,1,1
2026-03-27 18:42:50.518,66,target,-120.00,0.00,-88.00,-11.00,22.00,0.2,1131.3,5,0.00,0.3086,1,1
2026-03-27 18:42:50.617,66,source,-120.00,0.00,-88.00,-11.00,22.00,0.0,0.0,0,0.00,0.3099,1,1
2026-03-27 18:42:50.618,66,target,-120.00,0.00,-88.00,-11.00,22.00,0.5,1806.7,10,0.00,0.3059,1,1
2026-03-27 18:42:50.717,66,source,-120.00,0.00,-88.00,-11.00,22.00,0.0,0.0,0,0.00,0.3099,1,1
2026-03-27 18:42:50.718,66,target,-120.00,0.00,-88.00,-11.00,22.00,0.2,2610.0,10,0.00,0.3083,1,1
2026-03-27 18:42:50.818,66,target,-120.00,0.00,-88.00,-11.00,22.00,0.2,3429.4,5,0.00,0.3155,1,1
2026-03-27 18:42:50.918,66,target,-120.00,0.00,-84.00,-11.00,22.50,0.5,4496.6,10,0.00,0.3223,1,1
2026-03-27 18:42:51.018,66,target,-120.00,0.00,-84.00,-11.00,22.50,0.2,5168.0,5,0.00,0.3290,1,1
2026-03-27 18:42:51.118,66,target,-120.00,0.00,-84.00,-11.00,22.50,0.5,5830.2,10,0.00,0.3263,1,1
2026-03-27 18:42:51.218,66,target,-120.00,0.00,-84.00,-11.00,22.50,0.2,5857.0,5,0.00,0.3311,1,1
