timestamp,gnb,metric_name,metric_value
2026-03-26 17:41:11.460,source,DRB.PdcpSduVolumeUL,3.688
2026-03-26 17:41:11.460,source,DRB.RlcSduDelayDl,0.000
2026-03-26 17:41:11.460,source,DRB.UEThpDl,547.040
2026-03-26 17:41:11.460,source,DRB.UEThpUl,4849.520
2026-03-26 17:41:11.460,source,RRU.PrbTotDl,1982.000
2026-03-26 17:41:11.460,source,RRU.PrbTotUl,12242.000
2026-03-26 17:41:11.560,source,DRB.PdcpSduVolumeUL,2.208
2026-03-26 17:41:11.560,source,DRB.RlcSduDelayDl,262.900
2026-03-26 17:41:11.560,source,DRB.UEThpDl,93.040
2026-03-26 17:41:11.560,source,DRB.UEThpUl,2786.080
2026-03-26 17:41:11.560,source,RRU.PrbTotDl,90.000
2026-03-26 17:41:11.560,source,RRU.PrbTotUl,2490.000
2026-03-26 17:41:11.661,source,DRB.PdcpSduVolumeUL,3.072
2026-03-26 17:41:11.661,source,DRB.RlcSduDelayDl,186.448
2026-03-26 17:41:11.661,source,DRB.UEThpDl,134.800
2026-03-26 17:41:11.661,source,DRB.UEThpUl,3895.840
2026-03-26 17:41:11.661,source,RRU.PrbTotDl,142.000
2026-03-26 17:41:11.661,source,RRU.PrbTotUl,2745.000
2026-03-26 17:41:11.761,source,DRB.PdcpSduVolumeUL,3.936
2026-03-26 17:41:11.761,source,DRB.RlcSduDelayDl,189.727
2026-03-26 17:41:11.761,source,DRB.UEThpDl,102.560
2026-03-26 17:41:11.761,source,DRB.UEThpUl,4904.160
2026-03-26 17:41:11.761,source,RRU.PrbTotDl,120.000
2026-03-26 17:41:11.761,source,RRU.PrbTotUl,3000.000
2026-03-26 17:41:11.860,source,DRB.PdcpSduVolumeUL,4.416
2026-03-26 17:41:11.860,source,DRB.RlcSduDelayDl,297.696
2026-03-26 17:41:11.860,source,DRB.UEThpDl,106.960
2026-03-26 17:41:11.860,source,DRB.UEThpUl,5567.920
2026-03-26 17:41:11.860,source,RRU.PrbTotDl,120.000
2026-03-26 17:41:11.860,source,RRU.PrbTotUl,3000.000
2026-03-26 17:41:11.960,source,DRB.PdcpSduVolumeUL,4.896
2026-03-26 17:41:11.960,source,DRB.RlcSduDelayDl,248.400
2026-03-26 17:41:11.960,source,DRB.UEThpDl,116.480
2026-03-26 17:41:11.960,source,DRB.UEThpUl,6240.400
2026-03-26 17:41:11.960,source,RRU.PrbTotDl,130.000
2026-03-26 17:41:11.960,source,RRU.PrbTotUl,3000.000
2026-03-26 17:41:12.060,source,DRB.PdcpSduVolumeUL,5.568
2026-03-26 17:41:12.061,source,DRB.RlcSduDelayDl,262.759
2026-03-26 17:41:12.061,source,DRB.UEThpDl,135.040
2026-03-26 17:41:12.061,source,DRB.UEThpUl,6969.520
2026-03-26 17:41:12.061,source,RRU.PrbTotDl,145.000
2026-03-26 17:41:12.061,source,RRU.PrbTotUl,3000.000
2026-03-26 17:41:12.160,source,DRB.PdcpSduVolumeUL,5.856
2026-03-26 17:41:12.160,source,DRB.RlcSduDelayDl,245.452
2026-03-26 17:41:12.160,source,DRB.UEThpDl,144.320
2026-03-26 17:41:12.160,source,DRB.UEThpUl,7383.680
2026-03-26 17:41:12.160,source,RRU.PrbTotDl,155.000
2026-03-26 17:41:12.160,source,RRU.PrbTotUl,2847.000
2026-03-26 17:41:12.260,source,DRB.PdcpSduVolumeUL,6.240
2026-03-26 17:41:12.260,source,DRB.RlcSduDelayDl,223.188
2026-03-26 17:41:12.260,source,DRB.UEThpDl,148.960
2026-03-26 17:41:12.260,source,DRB.UEThpUl,7776.400
2026-03-26 17:41:12.260,source,RRU.PrbTotDl,145.000
2026-03-26 17:41:12.260,source,RRU.PrbTotUl,2694.000
2026-03-26 17:41:12.271,source,RSRP,-92.000
2026-03-26 17:41:12.271,source,RSRQ,-11.000
2026-03-26 17:41:12.271,source,SINR,22.500
2026-03-26 17:41:12.360,source,DRB.PdcpSduVolumeUL,6.336
2026-03-26 17:41:12.361,source,DRB.RlcSduDelayDl,222.273
2026-03-26 17:41:12.361,source,DRB.UEThpDl,153.360
2026-03-26 17:41:12.361,source,DRB.UEThpUl,8071.840
2026-03-26 17:41:12.361,source,RRU.PrbTotDl,165.000
2026-03-26 17:41:12.361,source,RRU.PrbTotUl,2745.000
2026-03-26 17:41:12.460,source,DRB.PdcpSduVolumeUL,5.568
2026-03-26 17:41:12.460,source,DRB.RlcSduDelayDl,220.207
2026-03-26 17:41:12.460,source,DRB.UEThpDl,135.040
2026-03-26 17:41:12.460,source,DRB.UEThpUl,6934.960
2026-03-26 17:41:12.460,source,RRU.PrbTotDl,130.000
2026-03-26 17:41:12.460,source,RRU.PrbTotUl,2184.000
2026-03-26 17:41:12.560,source,DRB.PdcpSduVolumeUL,6.624
2026-03-26 17:41:12.560,source,DRB.RlcSduDelayDl,217.472
2026-03-26 17:41:12.560,source,DRB.UEThpDl,167.520
2026-03-26 17:41:12.560,source,DRB.UEThpUl,8358.400
2026-03-26 17:41:12.560,source,RRU.PrbTotDl,160.000
2026-03-26 17:41:12.560,source,RRU.PrbTotUl,2541.000
2026-03-26 17:41:12.661,source,DRB.PdcpSduVolumeUL,7.200
2026-03-26 17:41:12.661,source,DRB.RlcSduDelayDl,198.103
2026-03-26 17:41:12.661,source,DRB.UEThpDl,181.440
2026-03-26 17:41:12.661,source,DRB.UEThpUl,9139.440
2026-03-26 17:41:12.661,source,RRU.PrbTotDl,185.000
2026-03-26 17:41:12.661,source,RRU.PrbTotUl,2898.000
2026-03-26 17:41:12.760,source,DRB.PdcpSduVolumeUL,7.104
2026-03-26 17:41:12.760,source,DRB.RlcSduDelayDl,184.472
2026-03-26 17:41:12.760,source,DRB.UEThpDl,167.520
2026-03-26 17:41:12.760,source,DRB.UEThpUl,8924.880
2026-03-26 17:41:12.760,source,RRU.PrbTotDl,180.000
2026-03-26 17:41:12.760,source,RRU.PrbTotUl,2847.000
2026-03-26 17:41:12.860,source,DRB.PdcpSduVolumeUL,7.008
2026-03-26 17:41:12.860,source,DRB.RlcSduDelayDl,200.474
2026-03-26 17:41:12.860,source,DRB.UEThpDl,176.800
2026-03-26 17:41:12.860,source,DRB.UEThpUl,8787.600
2026-03-26 17:41:12.860,source,RRU.PrbTotDl,180.000
2026-03-26 17:41:12.860,source,RRU.PrbTotUl,2694.000
2026-03-26 17:41:12.960,source,DRB.PdcpSduVolumeUL,6.240
2026-03-26 17:41:12.961,source,DRB.RlcSduDelayDl,204.297
2026-03-26 17:41:12.961,source,DRB.UEThpDl,172.160
2026-03-26 17:41:12.961,source,DRB.UEThpUl,7838.480
2026-03-26 17:41:12.961,source,RRU.PrbTotDl,140.000
2026-03-26 17:41:12.961,source,RRU.PrbTotUl,2388.000
2026-03-26 17:41:13.060,source,DRB.PdcpSduVolumeUL,6.912
2026-03-26 17:41:13.060,source,DRB.RlcSduDelayDl,215.846
2026-03-26 17:41:13.060,source,DRB.UEThpDl,181.440
2026-03-26 17:41:13.061,source,DRB.UEThpUl,8664.640
2026-03-26 17:41:13.061,source,RRU.PrbTotDl,175.000
2026-03-26 17:41:13.061,source,RRU.PrbTotUl,2745.000
2026-03-26 17:41:13.161,source,DRB.PdcpSduVolumeUL,7.104
2026-03-26 17:41:13.161,source,DRB.RlcSduDelayDl,220.105
2026-03-26 17:41:13.161,source,DRB.UEThpDl,176.800
2026-03-26 17:41:13.161,source,DRB.UEThpUl,8970.880
2026-03-26 17:41:13.161,source,RRU.PrbTotDl,190.000
2026-03-26 17:41:13.161,source,RRU.PrbTotUl,2898.000
2026-03-26 17:41:13.260,source,DRB.PdcpSduVolumeUL,7.016
2026-03-26 17:41:13.261,source,DRB.RlcSduDelayDl,215.000
2026-03-26 17:41:13.261,source,DRB.UEThpDl,176.800
2026-03-26 17:41:13.261,source,DRB.UEThpUl,8878.880
